candidate_id,rank,score,reasoning
CAND_0041669,1,1.0000,"Brings 8.0 years of ML/software experience, currently serving as a Recommendation Systems Engineer at CRED. Strong alignment in search/retrieval systems (using FAISS), ML models (using PEFT). Educated at a Tier-1 institution. Based locally in Noida, Uttar Pradesh, with a 60-day notice period. Notable strengths: highly active GitHub profile, saved by multiple recruiters recently."
CAND_0046525,2,0.9989,"Brings 6.1 years of ML/software experience, currently serving as a Senior Machine Learning Engineer at Genpact AI. Strong alignment in search/retrieval systems (using Elasticsearch), ML models (using LLMs). Educated at a Tier-1 institution. Based locally in Pune, Maharashtra, with a 60-day notice period. Notable strengths: excellent responsiveness (88%), saved by multiple recruiters recently."
CAND_0064326,3,0.9981,"Experienced Search Engineer possessing 7.6 years of background, currently at Sarvam AI. Strong alignment in search/retrieval systems (using Milvus), ML models (using PyTorch). Based locally in Gurgaon, Haryana, with a 45-day notice period. Standout signals: highly active GitHub profile, excellent responsiveness (94%)."
CAND_0042029,4,0.9978,"Brings 6.5 years of ML/software experience, currently serving as a Senior Data Scientist at Flipkart. Strong alignment in search/retrieval systems (using Elasticsearch), ML models (using PyTorch). Based locally in Delhi, Delhi, with a 45-day notice period. Notable strengths: highly active GitHub profile, saved by multiple recruiters recently."
CAND_0018499,5,0.9821,"Currently a Senior Machine Learning Engineer at Zomato with 7.2 years of total industry tenure. Strong alignment in search/retrieval systems (using Milvus), ML models (using QLoRA). Educated at a Tier-1 institution. Based locally in Noida, Uttar Pradesh, with a 15-day notice period. Highlights include highly active GitHub profile, saved by multiple recruiters recently."
CAND_0087364,6,0.9214,"A Recommendation Systems Engineer with 4.9 years of experience, currently working at Glance. Strong alignment in search/retrieval systems (using Elasticsearch). Based locally in Gurgaon, Haryana, with a 30-day notice period. Key highlights include saved by multiple recruiters recently."
CAND_0052328,7,0.9074,"A Recommendation Systems Engineer with 6.5 years of experience, currently working at Amazon. Strong alignment in search/retrieval systems (using OpenSearch), ML models (using LoRA). Educated at a Tier-1 institution. Based locally in Pune, Maharashtra, with a 30-day notice period. Key highlights include highly active GitHub profile, saved by multiple recruiters recently."
CAND_0009837,8,0.8903,"Brings 4.3 years of ML/software experience, currently serving as a Senior Data Scientist at Rephrase.ai. Strong alignment in search/retrieval systems (using FAISS), ML models (using LLMs). Educated at a Tier-1 institution. Based locally in Noida, Uttar Pradesh, with a 60-day notice period. Notable strengths: highly active GitHub profile."
CAND_0062247,9,0.8853,"Currently a AI Engineer at Google with 7.3 years of total industry tenure. Strong alignment in search/retrieval systems (using Pinecone), ML models (using PEFT). Educated at a Tier-1 institution. Located in Kochi, Kerala (willing to relocate), with a 30-day notice period. Highlights include highly active GitHub profile, saved by multiple recruiters recently."
CAND_0086022,10,0.8752,"Experienced Senior Applied Scientist possessing 5.3 years of background, currently at Sarvam AI. Strong alignment in search/retrieval systems (using Elasticsearch), ML models (using LoRA). Educated at a Tier-1 institution. Located in Kolkata, West Bengal (willing to relocate), ready to start immediately. Standout signals: highly active GitHub profile, saved by multiple recruiters recently."
CAND_0066999,11,0.8692,"Currently a Recommendation Systems Engineer at Microsoft with 5.9 years of total industry tenure. Strong alignment in search/retrieval systems (using FAISS), ML models (using LLMs). Educated at a Tier-1 institution. Based locally in Delhi, Delhi, with a 15-day notice period. Highlights include highly active GitHub profile, saved by multiple recruiters recently."
CAND_0054394,12,0.8608,"Experienced Recommendation Systems Engineer possessing 4.1 years of background, currently at PharmEasy. Strong alignment in search/retrieval systems (using Pinecone). Educated at a Tier-1 institution. Based locally in Pune, Maharashtra, with a 30-day notice period. Standout signals: saved by multiple recruiters recently."
CAND_0041610,13,0.8602,"Experienced Recommendation Systems Engineer possessing 6.7 years of background, currently at Zoho. Strong alignment in search/retrieval systems (using Elasticsearch), ML models (using LoRA). Holds a Master's degree. Located in Indore, Madhya Pradesh (willing to relocate), with a 30-day notice period. Standout signals: highly active GitHub profile, saved by multiple recruiters recently."
CAND_0098846,14,0.8544,"Experienced AI Engineer possessing 7.6 years of background, currently at upGrad. Strong alignment in search/retrieval systems (using Qdrant), ML models (using PEFT). Educated at a Tier-1 institution. Located in Indore, Madhya Pradesh (willing to relocate), with a 45-day notice period. Standout signals: highly active GitHub profile, saved by multiple recruiters recently."
CAND_0003977,15,0.8475,"Brings 4.6 years of ML/software experience, currently serving as a Recommendation Systems Engineer at Google. Strong alignment in search/retrieval systems (using Semantic Search), ML models (using PyTorch). Educated at a Tier-1 institution. Based locally in Delhi, Delhi, with a 45-day notice period. Notable strengths: highly active GitHub profile, saved by multiple recruiters recently."
CAND_0006567,16,0.8474,"Currently a Senior AI Engineer at Meta with 7.9 years of total industry tenure. Brings core software engineering skills adjacent to ML. Educated at a Tier-1 institution. Based locally in Noida, Uttar Pradesh, with a 60-day notice period. Highlights include saved by multiple recruiters recently."
CAND_0027691,17,0.8409,"Currently a NLP Engineer at Haptik with 6.5 years of total industry tenure. Strong alignment in search/retrieval systems (using Semantic Search), ML models (using LoRA). Holds a Master's degree. Based locally in Pune, Maharashtra, with a 15-day notice period. Highlights include highly active GitHub profile, saved by multiple recruiters recently."
CAND_0007009,18,0.8398,"Brings 7.9 years of ML/software experience, currently serving as a Recommendation Systems Engineer at Wysa. Strong alignment in search/retrieval systems (using OpenSearch), ML models (using LLMs). Holds a Master's degree. Based locally in Noida, Uttar Pradesh, with a 30-day notice period. Notable strengths: highly active GitHub profile, saved by multiple recruiters recently."
